,gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
5453,1,1,1,0,2,0,3,0,142,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,4,3,4,4,3.0,3.0,3.0,3.0,3.0,2.0,4,3,4,3,4,3,4,3,4,4,3,4,4,4,4,2,1,2.0,3,3.0,1
4505,1,1,1,2,2,1,3,2,142,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4,3,4,4,4,2.0,3.0,3.0,3.0,2.0,1.0,3,4,3,3,3,3,1,0,3,3,1,1,1,2,4,2,0,3.0,3,1.0,0
5183,1,0,0,0,0,1,2,2,19,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,4.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,2,2,3,3,2,2,3,2,4,2,3,4,2,2.0,3,4.0,1
928,1,1,0,2,4,0,2,3,80,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3,4,4,4,3,3.0,4.0,4.0,4.0,3.0,3.0,2,1,4,3,3,4,4,1,1,3,2,3,4,3,4,1,3,4.0,3,2.0,0
3743,0,2,2,2,2,1,1,4,13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,4,4,4,2.0,3.0,4.0,2.0,4.0,2.0,2,1,4,4,3,4,2,0,2,4,2,4,4,4,4,2,4,4.0,1,2.0,0
3809,0,1,1,0,4,0,0,1,71,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2,4,3,4,4,2.0,4.0,4.0,2.0,4.0,2.0,4,4,4,4,4,4,4,0,2,4,3,4,4,4,4,4,1,3.0,1,3.0,0
852,1,1,0,2,4,0,1,3,36,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4,2,3,4,4,3.0,3.0,4.0,4.0,4.0,3.0,4,4,4,4,2,2,3,1,2,2,2,2,4,1,2,2,1,1.0,3,4.0,1
4247,0,1,0,4,2,0,3,3,160,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4,4,4,4,4,3.0,3.0,3.0,4.0,3.0,4.0,4,2,4,4,4,4,4,2,2,2,4,4,4,4,4,3,3,3.0,4,4.0,1
5624,0,0,1,3,3,1,0,1,207,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,4,4,4,2.0,1.0,4.0,4.0,4.0,3.0,4,3,3,4,4,4,4,0,3,4,0,4,4,4,4,2,4,3.0,2,3.0,1
5269,0,1,1,2,3,0,1,1,105,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,3,4,3,2,3.0,3.0,4.0,4.0,3.0,4.0,2,1,4,3,1,1,1,1,3,1,3,1,1,2,3,4,2,2.0,1,3.0,0
706,0,0,1,2,2,1,0,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3,4,4,4,2,3.0,4.0,3.0,3.0,3.0,3.0,1,1,0,2,3,3,1,0,3,2,3,2,4,4,4,1,1,3.0,3,3.0,0
4363,1,1,0,2,0,0,0,0,121,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,3,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4,1,0,4,3,3,3,2,3,3,2,3,3,3,3,3,1,3.0,4,4.0,1
5962,0,1,0,2,2,1,3,2,79,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4,4,4,4,4,4.0,4.0,3.0,4.0,3.0,4.0,2,2,4,4,4,4,3,0,1,4,3,4,4,4,4,3,3,4.0,3,4.0,1
1863,1,1,1,2,0,0,0,0,82,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,3.0,3.0,4.0,2.0,3.0,2.0,4,1,4,4,2,2,2,1,4,4,3,3,4,2,4,3,0,3.0,4,3.0,1
6294,0,1,1,3,2,0,2,1,192,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,4,3,4,4.0,2.0,4.0,4.0,2.0,2.0,1,0,1,4,4,3,3,2,4,4,2,4,4,3,4,2,4,3.0,3,3.0,1
4442,1,1,1,2,2,1,2,3,23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4,4,4,4,4.0,3.0,3.0,4.0,3.0,4.0,3,3,2,4,4,4,3,3,4,4,2,3,3,4,4,4,3,2.0,2,4.0,1
3784,0,1,1,0,2,0,3,4,137,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,4,4,4,2,4.0,2.0,4.0,4.0,3.0,1.0,4,1,3,4,3,3,4,1,3,4,3,4,4,3,3,4,4,3.0,2,3.0,0
4009,0,2,1,1,2,0,2,2,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4,4,3,4,4,4.0,4.0,4.0,4.0,4.0,3.0,1,1,1,4,4,4,1,1,3,4,3,4,4,4,4,4,4,2.0,4,4.0,1
2626,1,1,1,2,2,1,3,3,82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,4,4,4,4,3.0,2.0,4.0,4.0,2.0,3.0,3,3,3,4,4,3,1,3,2,4,4,4,4,2,3,2,0,2.0,2,3.0,1
1326,0,0,0,4,0,0,3,4,121,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3,3,4,4,2.0,3.0,4.0,2.0,3.0,2.0,2,1,2,3,3,2,3,1,2,3,3,4,4,4,3,3,1,2.0,2,2.0,0
5763,1,1,1,2,2,1,0,0,194,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4,0,4,4,4,4,2,0,0,4,2,4,4,4,4,4,2,4.0,2,4.0,0
1058,0,0,1,2,2,1,4,2,58,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,1,4,3,4,2,2,4,2,2,3,4,3,3,3,2,4,3,2.0,2,4.0,0
3798,0,0,1,0,2,0,3,1,203,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,4,4,4,4,3.0,4.0,4.0,4.0,4.0,3.0,3,3,4,4,2,2,3,2,2,3,4,4,4,2,2,4,2,2.0,3,4.0,1
53,0,1,0,4,2,0,0,0,132,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3,3,4,3,3,4.0,4.0,4.0,3.0,3.0,2.0,2,1,0,4,3,3,1,1,4,4,4,4,4,4,4,4,1,3.0,3,3.0,1
5379,1,1,0,2,2,1,2,0,142,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4,3,4,4,3,3.0,2.0,2.0,4.0,3.0,3.0,4,4,4,1,3,4,3,1,2,1,3,0,4,1,2,2,3,2.0,1,2.0,0
534,0,1,1,0,2,0,3,1,192,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4,4,3,4,4,3.0,3.0,4.0,3.0,2.0,2.0,4,4,4,4,4,4,4,2,1,4,3,4,4,4,4,4,2,2.0,1,3.0,1
6355,1,0,0,0,2,0,2,0,70,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,3,4,4,4.0,4.0,4.0,2.0,4.0,0.0,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,0,3,2.0,3,1.0,0
3157,0,1,0,2,0,0,1,1,87,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,3,3,2,1.0,1.0,3.0,0.0,2.0,0.0,2,2,2,2,3,4,4,0,3,2,0,2,4,3,3,1,3,2.0,2,0.0,0
3704,0,0,1,0,2,0,0,0,192,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3,4,4,4,4,3.0,4.0,4.0,3.0,3.0,3.0,3,0,3,4,4,4,4,2,4,4,3,3,4,3,4,2,2,4.0,2,3.0,0
5693,0,1,1,2,3,0,2,2,105,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3,4,4,4,3,4.0,4.0,4.0,3.0,3.0,3.0,4,3,4,3,3,4,4,1,1,4,2,3,4,4,4,2,3,3.0,2,3.0,0
6019,0,1,1,0,2,0,1,1,120,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,3,2,4,4,3.0,2.0,3.0,3.0,3.0,2.0,3,1,3,3,3,3,1,1,2,3,2,2,4,2,3,3,3,4.0,3,2.0,1
3131,0,1,1,2,3,0,0,1,75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4,3,4,4,2,1.0,3.0,3.0,2.0,3.0,2.0,3,0,3,2,3,4,3,0,2,4,3,2,4,1,3,1,0,2.0,1,1.0,0
3218,0,0,1,0,2,0,1,2,17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,4,3,2.0,3.0,3.0,2.0,2.0,3.0,4,2,3,4,4,3,4,2,3,4,1,3,2,3,3,3,2,3.0,2,3.0,1
6681,1,1,0,2,2,1,1,1,89,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3,4,4,4,4,3.0,3.0,4.0,4.0,3.0,3.0,4,2,3,4,3,3,2,4,4,3,3,4,4,4,4,4,1,3.0,2,3.0,1
4088,1,1,0,2,2,1,0,0,207,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,2.0,4,4,4,4,4,3,2,2,3,3,2,3,4,3,3,2,2,2.0,2,2.0,0
6083,0,0,0,2,0,0,4,4,194,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4,4,4,4,3,4.0,3.0,4.0,4.0,3.0,2.0,2,1,3,3,4,4,1,1,0,4,3,4,4,4,4,3,3,3.0,3,3.0,0
1467,1,0,0,0,3,0,2,0,47,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2,0,2,2,2,2,1,3,2,4,3,3,4,3,3,2,1,3.0,2,3.0,0
1619,0,1,1,0,2,0,1,1,177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,4,4,4,4,4.0,4.0,3.0,4.0,4.0,4.0,2,0,2,4,4,4,2,2,3,4,2,4,4,4,4,3,0,4.0,2,4.0,1
987,1,0,0,4,2,0,0,0,121,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,3,4,3,4,3,3,2,3,3,3,4,3,4,4,4,2,2,2.0,3,4.0,0
206,0,0,1,2,2,1,2,4,121,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,4,4,4,4.0,3.0,3.0,3.0,3.0,2.0,1,1,3,4,3,3,3,1,3,3,4,4,4,3,3,4,3,1.0,2,3.0,0
2547,1,1,1,2,2,1,3,3,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,4,3,3.0,4.0,3.0,3.0,3.0,2.0,4,3,3,3,4,3,3,3,4,4,3,2,4,3,3,2,1,3.0,3,2.0,1
3674,0,1,1,2,2,1,4,4,66,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4,4,3,4,4,4.0,3.0,4.0,4.0,4.0,3.0,2,2,1,4,4,3,3,2,4,4,4,4,3,4,4,4,3,2.0,1,4.0,1
1515,0,1,1,2,1,0,3,1,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,4,3,4,3,2.0,2.0,3.0,4.0,3.0,2.0,2,2,3,4,4,4,3,2,4,4,2,3,3,3,3,3,2,2.0,3,2.0,0
5984,1,1,1,0,2,0,0,0,153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,2.0,4.0,4.0,3.0,4.0,3.0,4,3,4,2,4,4,4,3,0,4,4,4,4,4,4,4,4,2.0,3,3.0,0
6438,1,1,0,2,2,1,0,0,136,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,4,4,4,4,4.0,1.0,3.0,3.0,3.0,1.0,3,1,2,4,3,3,1,1,3,4,3,2,4,3,4,3,0,4.0,4,2.0,0
5533,0,0,0,2,2,1,0,0,208,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3,4,3,4,4,2.0,3.0,2.0,2.0,2.0,1.0,2,1,4,4,2,3,2,1,1,4,2,2,3,3,4,2,1,4.0,2,2.0,0
4580,1,1,0,2,0,0,1,1,142,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4,4,4,4,4,2.0,3.0,3.0,3.0,2.0,1.0,4,4,2,4,2,2,1,1,3,2,3,2,3,1,3,3,1,2.0,2,2.0,0
2828,1,1,1,2,3,0,4,4,142,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3,4,3,4,4,4.0,2.0,3.0,2.0,1.0,0.0,2,1,4,4,3,2,4,0,1,4,4,4,4,1,2,1,0,2.0,2,2.0,0
1437,1,1,1,0,2,0,3,0,23,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,4,2,4,2,2.0,2.0,3.0,3.0,4.0,1.0,4,4,3,4,4,4,4,0,2,4,2,4,4,4,2,1,2,3.0,4,2.0,0
5513,1,1,1,4,0,0,1,1,20,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3,4,4,4,3,3.0,3.0,3.0,2.0,3.0,3.0,4,4,4,4,3,3,4,4,3,1,1,3,3,3,3,2,2,2.0,3,2.0,0
3362,1,1,0,2,2,1,3,1,157,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,3,3,4,4,3.0,3.0,2.0,3.0,4.0,3.0,3,1,4,4,4,4,1,1,3,4,0,2,3,3,3,1,1,3.0,2,3.0,0
2165,0,1,1,2,2,1,1,0,95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,3,3,4,4,2.0,4.0,4.0,3.0,4.0,2.0,4,1,4,4,4,4,0,0,3,4,2,3,4,1,2,3,0,4.0,2,3.0,0
5390,1,1,1,2,2,1,0,0,187,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4,4,3,4,3,4.0,2.0,3.0,3.0,3.0,2.0,4,3,4,4,2,1,4,2,4,4,2,2,4,4,4,2,0,3.0,2,3.0,1
2345,0,1,1,3,2,0,1,3,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,4,4,3.0,3.0,3.0,3.0,3.0,3.0,4,2,4,4,4,4,4,3,4,4,4,4,4,3,3,4,1,3.0,2,3.0,0
6399,1,0,0,4,0,0,0,0,70,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,4,4,4,2,4.0,4.0,4.0,4.0,4.0,3.0,3,4,1,4,4,4,3,3,3,3,1,3,3,4,3,2,0,3.0,4,4.0,1
5750,1,1,1,2,2,1,1,3,142,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3,4,4,4,4,3.0,3.0,3.0,2.0,3.0,2.0,4,3,2,4,3,2,4,1,2,4,3,3,3,1,2,2,1,3.0,2,3.0,0
723,0,0,1,2,4,0,4,3,192,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,4,4,4,2.0,4.0,4.0,3.0,4.0,4.0,4,3,4,3,3,3,4,3,3,4,4,4,4,4,4,4,1,3.0,2,3.0,0
6547,1,0,1,0,0,1,3,0,133,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,4,4,4,1.0,2.0,3.0,2.0,4.0,2.0,2,3,3,4,4,4,0,4,4,4,4,4,4,4,4,4,3,3.0,4,3.0,0
3552,1,1,1,0,1,0,0,1,144,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2,4,4,4,4,3.0,4.0,4.0,4.0,2.0,3.0,4,3,0,3,1,3,4,2,1,4,3,2,3,3,4,1,0,2.0,3,4.0,1
6219,0,1,0,0,4,0,1,1,63,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3,4,4,4,3,3.0,3.0,3.0,2.0,3.0,3.0,4,0,2,4,2,1,3,3,4,4,2,1,3,4,4,1,0,2.0,4,3.0,1
6287,0,1,0,3,2,0,2,1,192,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,4,3,4,1.0,3.0,4.0,2.0,4.0,2.0,1,0,1,4,4,3,3,2,4,4,2,4,4,3,4,2,4,3.0,3,3.0,0
3198,0,0,0,2,3,0,2,2,10,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,4,3,4,3,4.0,4.0,3.0,3.0,3.0,3.0,2,0,4,4,4,4,3,1,0,4,1,3,3,3,4,2,1,3.0,3,4.0,1
6478,1,1,1,2,3,0,0,0,19,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3,4,4,4,4,1.0,2.0,2.0,2.0,2.0,3.0,4,1,4,4,4,4,4,4,3,4,2,2,3,1,3,3,3,3.0,3,2.0,0
5337,1,0,0,2,0,0,4,1,121,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,4,4,4,2.0,4.0,3.0,3.0,4.0,2.0,4,4,4,4,3,3,3,1,0,1,2,2,4,4,4,4,2,3.0,3,4.0,0
1263,0,0,0,2,2,1,1,1,192,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3,4,4,4,4,4.0,3.0,3.0,4.0,3.0,2.0,3,0,4,4,4,4,4,1,3,3,3,4,4,4,4,3,4,3.0,3,4.0,1
2399,1,1,1,0,1,0,1,0,142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4,4,4,4,3.0,4.0,3.0,3.0,4.0,3.0,4,3,4,4,3,2,1,3,3,4,2,1,4,1,3,4,1,2.0,3,3.0,0
6117,0,1,0,0,0,1,4,1,15,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,2.0,3.0,3.0,3.0,3.0,3.0,1,1,3,4,4,4,2,2,4,4,3,4,2,4,4,4,1,3.0,1,2.0,0
450,1,1,0,2,2,1,1,1,148,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,3.0,4,2,1,4,4,4,4,2,2,4,2,3,4,4,4,3,1,2.0,3,4.0,1
